stateCode,reportDate,cases,deaths,population_number,population_density
DE-NW,2020-03-18,4268,13,17866000,524
DE-RP,2020-03-18,603,0,4053000,204
DE-SL,2020-03-18,101,0,996000,388
DE-SN,2020-03-18,296,0,4085000,221
DE-ST,2020-03-18,133,0,2245000,110
DE-SH,2020-03-18,196,1,2859000,181
DE-TH,2020-03-18,87,0,2171000,134
DE-BW,2020-03-19,2748,11,10880000,304
DE-BY,2020-03-19,2282,13,12844000,182
DE-BE,2020-03-19,688,0,3520000,3948
DE-BB,2020-03-19,204,0,2485000,84
DE-HB,2020-03-19,119,0,671000,1599
DE-HH,2020-03-19,506,1,1787000,2366
DE-HE,2020-03-19,740,1,6176000,293
DE-MV,2020-03-19,133,0,1612000,69
DE-NI,2020-03-19,981,0,7927000,167
DE-NW,2020-03-19,4971,17,17866000,524
DE-RP,2020-03-19,749,0,4053000,204
DE-SL,2020-03-19,217,0,996000,388
DE-SN,2020-03-19,389,0,4085000,221
DE-ST,2020-03-19,152,0,2245000,110
DE-SH,2020-03-19,253,0,2859000,181
DE-TH,2020-03-19,108,0,2171000,134
DE-BW,2020-03-20,3665,17,10880000,304
DE-BY,2020-03-20,3107,20,12844000,182
DE-BE,2020-03-20,868,1,3520000,3948
DE-BB,2020-03-20,265,0,2485000,84
DE-HB,2020-03-20,127,0,671000,1599
DE-HH,2020-03-20,664,1,1787000,2366
DE-HE,2020-03-20,962,2,6176000,293
DE-MV,2020-03-20,167,0,1612000,69
DE-NI,2020-03-20,1262,0,7927000,167
DE-NW,2020-03-20,6257,20,17866000,524
DE-RP,2020-03-20,890,1,4053000,204
DE-SL,2020-03-20,217,0,996000,388
DE-SN,2020-03-20,562,1,4085000,221
DE-ST,2020-03-20,217,0,2245000,110
DE-SH,2020-03-20,321,1,2859000,181
DE-TH,2020-03-20,161,0,2171000,134
DE-BW,2020-03-21,3818,23,10880000,304
DE-BY,2020-03-21,3695,21,12844000,182
DE-BE,2020-03-21,1025,1,3520000,3948
DE-BB,2020-03-21,315,1,2485000,84
DE-HB,2020-03-21,168,0,671000,1599
DE-HH,2020-03-21,768,1,1787000,2366
DE-HE,2020-03-21,1166,2,6176000,293
DE-MV,2020-03-21,182,0,1612000,69
DE-NI,2020-03-21,1452,4,7927000,167
DE-NW,2020-03-21,6740,24,17866000,524
DE-RP,2020-03-21,1062,2,4053000,204
DE-SL,2020-03-21,217,0,996000,388
DE-SN,2020-03-21,650,1,4085000,221
DE-ST,2020-03-21,253,0,2245000,110
DE-SH,2020-03-21,383,1,2859000,181
DE-TH,2020-03-21,207,0,2171000,134
DE-BW,2020-03-22,3818,23,10880000,304
DE-BY,2020-03-22,4457,22,12844000,182
DE-BE,2020-03-22,1071,1,3520000,3948
DE-BB,2020-03-22,353,1,2485000,84
DE-HB,2020-03-22,168,0,671000,1599
DE-HH,2020-03-22,887,1,1787000,2366
DE-HE,2020-03-22,1267,3,6176000,293
DE-MV,2020-03-22,182,0,1612000,69
DE-NI,2020-03-22,1586,4,7927000,167
DE-NW,2020-03-22,7361,32,17866000,524
DE-RP,2020-03-22,1149,2,4053000,204
DE-SL,2020-03-22,301,1,996000,388
DE-SN,2020-03-22,731,1,4085000,221
DE-ST,2020-03-22,269,0,2245000,110
DE-SH,2020-03-22,436,1,2859000,181
DE-TH,2020-03-22,237,0,2171000,134
DE-BW,2020-03-23,5333,31,10880000,304
DE-BY,2020-03-23,5719,27,12844000,182
DE-BE,2020-03-23,1219,2,3520000,3948
DE-BB,2020-03-23,385,1,2485000,84
DE-HB,2020-03-23,175,0,671000,1599
DE-HH,2020-03-23,989,1,1787000,2366
DE-HE,2020-03-23,1352,3,6176000,293
DE-MV,2020-03-23,201,0,1612000,69
DE-NI,2020-03-23,1779,6,7927000,167
DE-NW,2020-03-23,8224,40,17866000,524
DE-RP,2020-03-23,1285,4,4053000,204
DE-SL,2020-03-23,383,1,996000,388
DE-SN,2020-03-23,865,3,4085000,221
DE-ST,2020-03-23,303,1,2245000,110
DE-SH,2020-03-23,467,1,2859000,181
DE-TH,2020-03-23,263,1,2171000,134
DE-BW,2020-03-24,6476,32,10880000,304
DE-BY,2020-03-24,6666,32,12844000,182
DE-BE,2020-03-24,1425,3,3520000,3948
DE-BB,2020-03-24,466,1,2485000,84
DE-HB,2020-03-24,186,0,671000,1599
DE-HH,2020-03-24,1237,1,1787000,2366
DE-HE,2020-03-24,1682,4,6176000,293
DE-MV,2020-03-24,219,0,1612000,69
DE-NI,2020-03-24,2110,6,7927000,167
DE-NW,2020-03-24,8981,53,17866000,524
DE-RP,2020-03-24,1640,6,4053000,204
DE-SL,2020-03-24,402,1,996000,388
DE-SN,2020-03-24,1036,1,4085000,221
DE-ST,2020-03-24,365,1,2245000,110
DE-SH,2020-03-24,552,2,2859000,181
DE-TH,2020-03-24,413,1,2171000,134
DE-BW,2020-03-25,7285,42,10880000,304
DE-BY,2020-03-25,7921,38,12844000,182
DE-BE,2020-03-25,1425,3,3520000,3948
DE-BB,2020-03-25,516,1,2485000,84
DE-HB,2020-03-25,203,0,671000,1599
DE-HH,2020-03-25,1450,1,1787000,2366
DE-HE,2020-03-25,1941,7,6176000,293
DE-MV,2020-03-25,227,0,1612000,69
