Wappen;Stadt;BL;Regierungs­bezirk[4];UZ;Flächeinkm²;tEW1939[5];tEW1950[6];tEW1970[7];tEW1990[8];tEW2011[9];EWjetzt;Bev.-dichte(EW/km²);Lagekarte
Wappen der Stadt Speyer;Speyer(49° 19′ N, 8° 26′ O);Rheinland-Pfalz RP;–;SP;42,6;30,1;31,8;42,2;46,0;50,0;50.378 (2018);1183;Lage der Stadt Speyer in Rheinland-Pfalz
Wappen der Stadt Straubing;Straubing(48° 53′ N, 12° 34′ O);Bayern BY;Niederbayern;SR;67,58;29,0;36,1;37,8;41,4;44,7;47.794 (2018);707;Lage der Stadt Straubing in Bayern
Wappen der Stadt Stuttgart;Stuttgart(48° 47′ N, 9° 11′ O);Baden-Württemberg BW;Stuttgart;S;207,35;458,4;497,7;634,2;575,6;613,4;634.830 (2018);3062;Lage der Stadt Stuttgart in Baden-Württemberg
Wappen der Stadt Suhl;Suhl(50° 37′ N, 10° 42′ O);Thüringen TH;–;SHL;141,62;23,5;24,0;31,4;55,1;38,2;36.955 (2018);261;Lage der Stadt Suhl in Thüringen
Wappen der Stadt Trier;Trier(49° 45′ N, 6° 38′ O);Rheinland-Pfalz RP;–;TR;117,13;88,2;75,5;103,6;97,2;105,7;110.636 (2018);945;Lage der Stadt Trier in Rheinland-Pfalz
Wappen der Stadt Ulm;Ulm(48° 24′ N, 9° 59′ O);Baden-Württemberg BW;Tübingen;UL;118,69;74,4;71,1;93,2;109,9;123,7;126.329 (2018);1064;Lage der Stadt Ulm in Baden-Württemberg
Wappen der Stadt Weiden in der Oberpfalz;Weiden in der Oberpfalz(49° 40′ N, 12° 9′ O);Bayern BY;Oberpfalz;WEN;70,55;29,4;37,7;42,2;42,0;42,0;42.520 (2018);603;Lage der Stadt Weiden in der Oberpfalz in Bayern
Wappen der Stadt Weimar;Weimar(50° 59′ N, 11° 20′ O);Thüringen TH;–;WE;84,48;65,9;64,5;63,7;60,5;65,5;65.090 (2018);770;Lage der Stadt Weimar in Thüringen
Wappen der Stadt Wiesbaden;Wiesbaden(50° 5′ N, 8° 14′ O);Hessen HE;Darmstadt;WI;203,93;170,4;220,7;250,7;258,5;278,9;278.342 (2018);1365;Lage der Stadt Wiesbaden in Hessen
Wappen der Stadt Wilhelmshaven;Wilhelmshaven(53° 31′ N, 8° 6′ O);Niedersachsen NI;–;WHV;106,95;113,7;101,2;103,0;90,2;81,0;76.278 (2018);713;Lage der Stadt Wilhelmshaven in Niedersachsen
Wappen der Stadt Wolfsburg;Wolfsburg(52° 25′ N, 10° 47′ O);Niedersachsen NI;–;WOB;204,09;6,8;25,4;90,1;127,6;122,6;124.151 (2018);608;Lage der Stadt Wolfsburg in Niedersachsen
Wappen der Stadt Worms;Worms(49° 38′ N, 8° 22′ O);Rheinland-Pfalz RP;–;WO;108,73;50,7;52,2;77,1;75,9;82,0;83.330 (2018);766;Lage der Stadt Worms in Rheinland-Pfalz
Wappen der Stadt Wuppertal;Wuppertal(51° 16′ N, 7° 13′ O);Nordrhein-Westfalen NW;Düsseldorf;W;168,39;401,7;363,2;417,7;381,1;349,5;354.382 (2018);2105;Lage der Stadt Wuppertal in Nordrhein-Westfalen
Wappen der Stadt Würzburg;Würzburg(49° 48′ N, 9° 56′ O);Bayern BY;Unterfranken;WÜ;87,63;107,5;78,4;116,4;126,7;133,8;127.880 (2018);1459;Lage der Stadt Würzburg in Bayern
Wappen der Stadt Zweibrücken;Zweibrücken(49° 15′ N, 7° 22′ O);Rheinland-Pfalz RP;–;ZW;70,64;30,7;25,8;32,8;33,7;33,8;34.209 (2018);484;Lage der Stadt Zweibrücken in Rheinland-Pfalz
