stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-BB,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),44,0,2485000,84
DE-HB,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),42,0,671000,1599
DE-HH,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),99,0,1787000,2366
DE-HE,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),148,0,6176000,293
DE-MV,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),33,0,1612000,69
DE-NI,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),230,0,7927000,167
DE-NW,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),936,0,17866000,524
DE-RP,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),102,0,4053000,204
DE-SL,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),40,0,996000,388
DE-SN,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),83,0,4085000,221
DE-ST,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),42,0,2245000,110
DE-SH,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),48,0,2859000,181
DE-TH,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),29,0,2171000,134
DE-BW,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),569,0,10880000,304
DE-BY,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),681,0,12844000,182
DE-BE,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),216,0,3520000,3948
DE-BB,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),61,0,2485000,84
DE-HB,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),50,0,671000,1599
DE-HH,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),158,0,1787000,2366
DE-HE,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),203,0,6176000,293
DE-MV,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),45,0,1612000,69
DE-NI,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),253,0,7927000,167
DE-NW,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1154,0,17866000,524
DE-RP,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),121,0,4053000,204
DE-SL,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),40,0,996000,388
DE-SN,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),93,0,4085000,221
DE-ST,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),45,0,2245000,110
DE-SH,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),60,0,2859000,181
DE-TH,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),46,0,2171000,134
DE-BW,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),827,0,10880000,304
DE-BY,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),886,0,12844000,182
DE-BE,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),265,0,3520000,3948
