reportDate,country_name_german,cases,deaths,source,countryCode,population_number,population_density
22-01-2020,Jordanien,0,0,ZON,JO,10428241,116
23-01-2020,Jordanien,0,0,ZON,JO,10428241,116
24-01-2020,Jordanien,0,0,ZON,JO,10428241,116
25-01-2020,Jordanien,0,0,ZON,JO,10428241,116
26-01-2020,Jordanien,0,0,ZON,JO,10428241,116
27-01-2020,Jordanien,0,0,ZON,JO,10428241,116
28-01-2020,Jordanien,0,0,ZON,JO,10428241,116
29-01-2020,Jordanien,0,0,ZON,JO,10428241,116
30-01-2020,Jordanien,0,0,ZON,JO,10428241,116
31-01-2020,Jordanien,0,0,ZON,JO,10428241,116
01-02-2020,Jordanien,0,0,ZON,JO,10428241,116
02-02-2020,Jordanien,0,0,ZON,JO,10428241,116
03-02-2020,Jordanien,0,0,ZON,JO,10428241,116
04-02-2020,Jordanien,0,0,ZON,JO,10428241,116
05-02-2020,Jordanien,0,0,ZON,JO,10428241,116
06-02-2020,Jordanien,0,0,ZON,JO,10428241,116
07-02-2020,Jordanien,0,0,ZON,JO,10428241,116
08-02-2020,Jordanien,0,0,ZON,JO,10428241,116
09-02-2020,Jordanien,0,0,ZON,JO,10428241,116
10-02-2020,Jordanien,0,0,ZON,JO,10428241,116
11-02-2020,Jordanien,0,0,ZON,JO,10428241,116
12-02-2020,Jordanien,0,0,ZON,JO,10428241,116
13-02-2020,Jordanien,0,0,ZON,JO,10428241,116
14-02-2020,Jordanien,0,0,ZON,JO,10428241,116
15-02-2020,Jordanien,0,0,ZON,JO,10428241,116
16-02-2020,Jordanien,0,0,ZON,JO,10428241,116
17-02-2020,Jordanien,0,0,ZON,JO,10428241,116
18-02-2020,Jordanien,0,0,ZON,JO,10428241,116
19-02-2020,Jordanien,0,0,ZON,JO,10428241,116
20-02-2020,Jordanien,0,0,ZON,JO,10428241,116
21-02-2020,Jordanien,0,0,ZON,JO,10428241,116
22-02-2020,Jordanien,0,0,ZON,JO,10428241,116
23-02-2020,Jordanien,0,0,ZON,JO,10428241,116
24-02-2020,Jordanien,0,0,ZON,JO,10428241,116
25-02-2020,Jordanien,0,0,ZON,JO,10428241,116
26-02-2020,Jordanien,0,0,ZON,JO,10428241,116
27-02-2020,Jordanien,0,0,ZON,JO,10428241,116
28-02-2020,Jordanien,0,0,ZON,JO,10428241,116
29-02-2020,Jordanien,0,0,ZON,JO,10428241,116
01-03-2020,Jordanien,0,0,ZON,JO,10428241,116
02-03-2020,Jordanien,0,0,ZON,JO,10428241,116
03-03-2020,Jordanien,1,0,ZON,JO,10428241,116
04-03-2020,Jordanien,1,0,ZON,JO,10428241,116
05-03-2020,Jordanien,1,0,ZON,JO,10428241,116
06-03-2020,Jordanien,1,0,ZON,JO,10428241,116
07-03-2020,Jordanien,1,0,ZON,JO,10428241,116
08-03-2020,Jordanien,1,0,ZON,JO,10428241,116
09-03-2020,Jordanien,1,0,ZON,JO,10428241,116
10-03-2020,Jordanien,1,0,ZON,JO,10428241,116
11-03-2020,Jordanien,1,0,ZON,JO,10428241,116
12-03-2020,Jordanien,1,0,ZON,JO,10428241,116
13-03-2020,Jordanien,1,0,ZON,JO,10428241,116
14-03-2020,Jordanien,1,0,ZON,JO,10428241,116
15-03-2020,Jordanien,8,0,ZON,JO,10428241,116
16-03-2020,Jordanien,17,0,ZON,JO,10428241,116
17-03-2020,Jordanien,34,0,ZON,JO,10428241,116
18-03-2020,Jordanien,52,0,ZON,JO,10428241,116
19-03-2020,Jordanien,69,0,ZON,JO,10428241,116
20-03-2020,Jordanien,85,0,ZON,JO,10428241,116
21-03-2020,Jordanien,85,0,ZON,JO,10428241,116
22-03-2020,Jordanien,112,0,ZON,JO,10428241,116
23-03-2020,Jordanien,127,0,ZON,JO,10428241,116
24-03-2020,Jordanien,154,0,ZON,JO,10428241,116
25-03-2020,Jordanien,172,0,ZON,JO,10428241,116
26-03-2020,Jordanien,212,0,ZON,JO,10428241,116
27-03-2020,Jordanien,235,1,ZON,JO,10428241,116
28-03-2020,Jordanien,246,1,ZON,JO,10428241,116
29-03-2020,Jordanien,259,3,ZON,JO,10428241,116
30-03-2020,Jordanien,268,5,ZON,JO,10428241,116
31-03-2020,Jordanien,274,5,ZON,JO,10428241,116
01-04-2020,Jordanien,278,5,ZON,JO,10428241,116
22-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
23-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
24-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
25-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
26-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
27-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
28-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
29-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
30-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
31-01-2020,Südafrika,0,0,ZON,ZA,57725600,47
01-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
02-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
03-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
04-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
05-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
06-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
07-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
08-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
09-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
10-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
11-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
12-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
13-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
14-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
15-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
16-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
17-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
18-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
19-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
20-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
21-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
22-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
23-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
24-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
25-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
26-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
27-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
28-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
29-02-2020,Südafrika,0,0,ZON,ZA,57725600,47
01-03-2020,Südafrika,0,0,ZON,ZA,57725600,47
02-03-2020,Südafrika,0,0,ZON,ZA,57725600,47
03-03-2020,Südafrika,0,0,ZON,ZA,57725600,47
04-03-2020,Südafrika,0,0,ZON,ZA,57725600,47
05-03-2020,Südafrika,1,0,ZON,ZA,57725600,47
06-03-2020,Südafrika,1,0,ZON,ZA,57725600,47
07-03-2020,Südafrika,1,0,ZON,ZA,57725600,47
08-03-2020,Südafrika,3,0,ZON,ZA,57725600,47
09-03-2020,Südafrika,3,0,ZON,ZA,57725600,47
10-03-2020,Südafrika,7,0,ZON,ZA,57725600,47
11-03-2020,Südafrika,13,0,ZON,ZA,57725600,47
12-03-2020,Südafrika,17,0,ZON,ZA,57725600,47
13-03-2020,Südafrika,24,0,ZON,ZA,57725600,47
14-03-2020,Südafrika,38,0,ZON,ZA,57725600,47
15-03-2020,Südafrika,51,0,ZON,ZA,57725600,47
16-03-2020,Südafrika,62,0,ZON,ZA,57725600,47
17-03-2020,Südafrika,62,0,ZON,ZA,57725600,47
18-03-2020,Südafrika,116,0,ZON,ZA,57725600,47
19-03-2020,Südafrika,150,0,ZON,ZA,57725600,47
20-03-2020,Südafrika,202,0,ZON,ZA,57725600,47
21-03-2020,Südafrika,240,0,ZON,ZA,57725600,47
22-03-2020,Südafrika,274,0,ZON,ZA,57725600,47
23-03-2020,Südafrika,402,0,ZON,ZA,57725600,47
24-03-2020,Südafrika,554,0,ZON,ZA,57725600,47
25-03-2020,Südafrika,709,0,ZON,ZA,57725600,47
26-03-2020,Südafrika,927,0,ZON,ZA,57725600,47
27-03-2020,Südafrika,1170,1,ZON,ZA,57725600,47
28-03-2020,Südafrika,1187,1,ZON,ZA,57725600,47
29-03-2020,Südafrika,1280,2,ZON,ZA,57725600,47
30-03-2020,Südafrika,1326,3,ZON,ZA,57725600,47
31-03-2020,Südafrika,1353,5,ZON,ZA,57725600,47
01-04-2020,Südafrika,1380,5,ZON,ZA,57725600,47
22-01-2020,Finnland,0,0,ZON,FI,5501043,16
23-01-2020,Finnland,0,0,ZON,FI,5501043,16
24-01-2020,Finnland,0,0,ZON,FI,5501043,16
25-01-2020,Finnland,0,0,ZON,FI,5501043,16
26-01-2020,Finnland,0,0,ZON,FI,5501043,16
27-01-2020,Finnland,0,0,ZON,FI,5501043,16
28-01-2020,Finnland,0,0,ZON,FI,5501043,16
29-01-2020,Finnland,1,0,ZON,FI,5501043,16
30-01-2020,Finnland,1,0,ZON,FI,5501043,16
31-01-2020,Finnland,1,0,ZON,FI,5501043,16
01-02-2020,Finnland,1,0,ZON,FI,5501043,16
02-02-2020,Finnland,1,0,ZON,FI,5501043,16
03-02-2020,Finnland,1,0,ZON,FI,5501043,16
